ID del Beneficiario,Nombre del Beneficiario,Tipo de Crédito,Monto del Crédito,Destino del Crédito,Tipo de Empresa,Sector Económico,Ubicación (Departamento),Zona (Rural/Urbano),Fecha de Otorgamiento,Plazo del Crédito (meses),Tasa de Interés (%),Garantía,Estado del Crédito
1,Beneficiario_1,Ñepyrura 2.0,687439819,Infraestructura sustentable,Microempresa,Comercio,Departamento_3,Rural,2023-10-30,36,14.0,No tiene garantía,Finalizado
2,Beneficiario_2,Banca Comunal,422655332,Cosecha y almacenamiento,Microempresa,Artesanal,Departamento_2,Semiurbano,2023-01-07,96,14.0,No tiene garantía,Activo
3,Beneficiario_3,Banca Comunal,36152358,Ahorro obligatorio (Banca Comunal),Pequeña Empresa,Servicios,Departamento_4,Rural,2023-03-12,12,12.0,No tiene garantía,Activo
4,Beneficiario_4,Juventud Emprendedora,308904416,Proyectos productivos rurales/urbanos,Productor individual,Turismo,Departamento_5,Rural,2023-01-17,36,10.0,FOGAMU,En mora
5,Beneficiario_5,Turismo Rural 2.0 - Sello Verde,184760308,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Servicios,Departamento_16,Rural,2023-06-12,48,15.0,FOGAPY,Activo
6,Beneficiario_6,Inversión Productiva,429131513,Equipamiento turístico,Microempresa,Industrial,Departamento_13,Rural,2023-02-26,96,13.0,No tiene garantía,Activo
7,Beneficiario_7,Promandioca - CAH,612330792,Infraestructura sustentable,Productor individual,Comercio,Departamento_15,Periurbano,2023-09-15,24,15.0,FOGAPY,En mora
8,Beneficiario_8,Para Micro y Pequeñas Empresas,403503362,Capital de inversión,Pequeña Empresa,Agropecuario,Departamento_10,Urbano,2023-05-20,84,15.0,No tiene garantía,Finalizado
9,Beneficiario_9,Banca Comunal,143352283,Ahorro obligatorio (Banca Comunal),Organización legalmente constituida,Agropecuario,Departamento_17,Rural,2023-03-29,12,18.0,FOGAPY,Activo
10,Beneficiario_10,Banca Comunal,223602740,Energías renovables,Microempresa,Agropecuario,Departamento_2,Periurbano,2023-05-31,60,11.5,FOGAMU,En mora
11,Beneficiario_11,Ñepyrura 2.0,742069025,Otros,Productor individual,Turismo,Departamento_13,Semiurbano,2023-04-20,36,11.5,FOGAMU,Finalizado
12,Beneficiario_12,Inversión Productiva 2.0 - FOGAPY,353138268,Eficiencia energética,Microempresa,Agroindustrial,Departamento_11,Rural,2023-04-21,108,18.0,No tiene garantía,En mora
13,Beneficiario_13,Ñepyrura 2.0,172697062,Proyectos productivos rurales/urbanos,Pequeña Empresa,Comercio,Departamento_12,Rural,2023-06-30,60,15.0,FOGAMU,Finalizado
14,Beneficiario_14,Ñepyrura 2.0,67042098,Capital de inversión,Microempresa,Agricultura Familiar Campesina,Departamento_13,Semiurbano,2023-12-25,120,11.5,No tiene garantía,Finalizado
15,Beneficiario_15,Para Micro y Pequeñas Empresas,372101066,Energías renovables,Pequeña Empresa,Artesanal,Departamento_15,Urbano,2023-11-07,36,11.5,FOGAMU,En mora
16,Beneficiario_16,Banca Comunal,694860769,Tratamiento de residuos sólidos y líquidos,Microempresa,Comercio,Departamento_9,Rural,2023-04-09,120,18.0,No tiene garantía,En mora
